Ciudad, Lat, Lon
Lima, -12.04318, -77.02824
Arequipa, -16.39889, -71.535
Callao, -12.05659, -77.11814
Trujillo, -8.11599, -79.02998
Chiclayo, -6.77137, -79.84088
Iquitos, -3.74912, -73.25383
Huancayo, -12.06513, -75.20486
Piura, -5.19449, -80.63282
Chimbote, -9.08528, -78.57833
Pucallpa, -8.37915, -74.55387
Tacna, -18.01465, -70.25362
Ica, -14.06777, -75.72861
Juliaca, -15.5, -70.13333
Sullana, -4.90389, -80.68528
Cusco, -13.52264, -71.96734
Huánuco, -9.93062, -76.24223
Ayacucho, -13.15878, -74.22321
Cajamarca, -7.16378, -78.50027
Huaraz, -9.52779, -77.52778
Santiago de Surco, -12.13588, -77.00742
